scenario,model,repeat,fold,accuracy,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,specificity,brier_score,threshold
rural_feature_schemes,All 25 + ElasticNet LR,1,1,0.6875,0.7419354838709677,0.7760656918214993,0.7619047619047619,0.5161290322580645,0.6153846153846154,0.6823069403714566,0.8484848484848485,0.20663093379576772,0.5
rural_feature_schemes,All 25 + ElasticNet LR,1,2,0.6875,0.69921875,0.7594897330882131,0.7727272727272727,0.53125,0.6296296296296297,0.6875,0.84375,0.21386343947341924,0.5
rural_feature_schemes,All 25 + ElasticNet LR,1,3,0.671875,0.716796875,0.7794765124478916,0.6896551724137931,0.625,0.6557377049180327,0.671875,0.71875,0.21462663773039534,0.5
rural_feature_schemes,All 25 + ElasticNet LR,1,4,0.765625,0.7626953125,0.7916054238578856,0.84,0.65625,0.7368421052631579,0.765625,0.875,0.19339215874622473,0.5
rural_feature_schemes,All 25 + ElasticNet LR,1,5,0.746031746031746,0.817540322580645,0.8648240124242256,0.8,0.6451612903225806,0.7142857142857143,0.7444556451612903,0.84375,0.17090821583121238,0.5
rural_feature_schemes,All 25 + ElasticNet LR,2,1,0.703125,0.7673509286412512,0.7987850246527073,0.7307692307692307,0.6129032258064516,0.6666666666666666,0.7003910068426198,0.7878787878787878,0.18835302794624115,0.5
rural_feature_schemes,All 25 + ElasticNet LR,2,2,0.671875,0.736328125,0.7814833777739933,0.7619047619047619,0.5,0.6037735849056604,0.671875,0.84375,0.20998304177979127,0.5
rural_feature_schemes,All 25 + ElasticNet LR,2,3,0.671875,0.76953125,0.8011122504935821,0.7391304347826086,0.53125,0.6181818181818182,0.671875,0.8125,0.1942841221772792,0.5
rural_feature_schemes,All 25 + ElasticNet LR,2,4,0.734375,0.80078125,0.8324859269620732,0.7586206896551724,0.6875,0.7213114754098361,0.734375,0.78125,0.1778837112386979,0.5
rural_feature_schemes,All 25 + ElasticNet LR,2,5,0.746031746031746,0.8104838709677419,0.8521833450061673,0.8260869565217391,0.6129032258064516,0.7037037037037037,0.7439516129032258,0.875,0.16948753470882486,0.5
rural_feature_schemes,All 25 + ElasticNet LR,3,1,0.71875,0.8191593352883675,0.8565312933585978,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.718475073313783,0.7272727272727273,0.16554086761713777,0.5
rural_feature_schemes,All 25 + ElasticNet LR,3,2,0.671875,0.7119140625,0.7631648609667434,0.72,0.5625,0.631578947368421,0.671875,0.78125,0.2221646486231891,0.5
rural_feature_schemes,All 25 + ElasticNet LR,3,3,0.65625,0.6748046875,0.7263264340467004,0.7272727272727273,0.5,0.5925925925925926,0.65625,0.8125,0.2234681309977775,0.5
rural_feature_schemes,All 25 + ElasticNet LR,3,4,0.65625,0.701171875,0.7591347024123833,0.6923076923076923,0.5625,0.6206896551724138,0.65625,0.75,0.21276028644149658,0.5
rural_feature_schemes,All 25 + ElasticNet LR,3,5,0.6825396825396826,0.6915322580645161,0.7474579033000569,0.7391304347826086,0.5483870967741935,0.6296296296296297,0.6804435483870968,0.8125,0.2215238736610677,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,1,1,0.703125,0.721407624633431,0.7575695911101663,0.75,0.5806451612903226,0.6545454545454545,0.6994134897360704,0.8181818181818182,0.21121520206890432,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,1,2,0.5625,0.6142578125,0.6843242409815253,0.5909090909090909,0.40625,0.48148148148148145,0.5625,0.71875,0.2285310469529377,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,1,3,0.703125,0.7177734375,0.7818745371147984,0.7241379310344828,0.65625,0.6885245901639344,0.703125,0.75,0.20638967234491246,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,1,4,0.765625,0.755859375,0.7800743878534024,0.8148148148148148,0.6875,0.7457627118644068,0.765625,0.84375,0.1957454649155324,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,1,5,0.7142857142857143,0.7993951612903225,0.8457206772589771,0.782608695652174,0.5806451612903226,0.6666666666666666,0.7121975806451613,0.84375,0.17556564115029183,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,2,1,0.71875,0.7419354838709677,0.7931028620306142,0.7241379310344828,0.6774193548387096,0.7,0.7174975562072337,0.7575757575757576,0.19412653424083892,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,2,2,0.609375,0.720703125,0.7605530355095483,0.6666666666666666,0.4375,0.5283018867924528,0.609375,0.78125,0.20978501419272985,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,2,3,0.640625,0.7509765625,0.7795493353810337,0.6956521739130435,0.5,0.5818181818181818,0.640625,0.78125,0.19979612610390393,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,2,4,0.71875,0.794921875,0.8171796627389416,0.75,0.65625,0.7,0.71875,0.78125,0.18544369330314803,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,2,5,0.746031746031746,0.8064516129032258,0.838900721861206,0.8571428571428571,0.5806451612903226,0.6923076923076923,0.7434475806451613,0.90625,0.17379319352250283,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,3,1,0.71875,0.7947214076246335,0.8359662504282793,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.718475073313783,0.7272727272727273,0.17356603786060332,0.5
rural_feature_schemes,ANOVA15 + ElasticNet LR,3,2,0.703125,0.736328125,0.8028058899598807,0.7407407407407407,0.625,0.6779661016949152,0.703125,0.78125,0.1973569375649786,0.5
